1000 3
14 16 1
21 23 3
13 17 3
4 7 3
0 1 2
2 5 2
10 12 1
19 20 2
11 15 2
21 2 1
15 19 3
16 19 3
8 11 3
16 19 3
18 22 2
8 13 2
1 3 3
3 5 2
2 6 2
7 11 3
21 1 2
13 16 2
12 15 3
19 22 2
2 7 2
0 5 2
0 3 1
11 15 2
15 20 2
23 2 2
8 12 3
2 3 1
7 9 2
14 18 3
10 12 3
19 23 3
7 10 3
23 3 2
12 14 1
20 23 1
4 7 2
8 10 2
7 11 1
13 15 1
19 0 1
7 11 1
16 18 1
16 20 1
22 2 3
20 21 1
5 10 1
14 17 3
14 15 3
10 14 1
6 9 2
11 14 1
17 19 2
23 2 3
3 6 1
7 9 3
3 8 3
4 4 1
12 16 3
22 1 2
9 13 2
22 3 3
14 17 1
22 1 1
12 16 3
17 22 2
0 4 1
19 21 1
13 17 3
18 21 3
10 14 3
2 4 2
9 11 2
8 11 2
17 21 2
13 15 2
1 3 1
8 11 3
19 22 3
9 13 1
19 22 2
5 8 1
20 23 2
22 3 2
11 14 2
17 20 1
16 20 3
12 17 3
14 16 3
19 21 2
22 2 3
14 18 1
11 12 3
5 10 1
13 13 2
20 23 3
0 2 3
12 14 3
19 21 2
4 9 3
5 5 2
6 10 1
17 21 3
23 3 2
17 20 2
0 2 1
3 5 1
4 7 3
2 3 2
7 10 1
17 19 1
10 12 2
4 5 2
13 15 1
9 13 3
4 8 2
2 5 1
6 11 2
12 16 2
8 12 2
1 6 3
0 3 2
16 18 1
15 17 3
2 5 2
16 18 3
15 19 1
21 23 3
7 12 2
11 14 3
8 12 1
22 0 2
4 8 1
20 22 2
18 20 1
7 9 3
2 4 1
3 7 1
19 22 3
1 4 1
12 13 1
1 3 1
21 0 3
17 21 3
16 19 3
15 17 1
10 13 1
23 2 1
1 4 2
19 21 3
2 6 2
15 19 3
9 13 3
1 5 3
22 1 3
5 9 1
16 18 2
22 23 2
3 6 2
2 5 1
4 8 3
7 10 1
3 8 1
9 13 3
21 0 3
17 21 1
15 18 3
6 9 3
0 4 1
7 9 2
15 18 3
21 1 3
14 17 1
21 23 1
9 12 1
22 0 2
1 2 3
16 18 1
9 11 3
7 10 1
15 17 2
5 10 1
8 10 1
7 10 1
11 13 3
5 8 3
16 17 1
13 17 3
8 9 3
15 18 3
8 11 1
18 22 2
19 22 1
8 10 3
12 16 1
16 19 2
0 3 2
6 9 1
16 20 1
6 9 3
12 14 1
0 2 3
13 15 1
2 4 2
19 0 3
13 17 3
19 23 2
16 21 2
4 8 1
6 9 1
18 21 3
23 3 1
8 11 3
8 12 1
20 23 2
7 12 3
20 0 3
12 17 2
19 22 2
8 11 1
7 11 3
7 11 3
23 1 1
9 11 3
3 6 3
21 2 3
21 23 3
14 18 1
4 6 2
17 20 3
15 17 1
5 9 3
14 18 3
18 22 2
4 6 2
9 12 2
16 17 2
12 15 3
19 22 1
9 12 1
21 23 1
10 13 2
10 14 3
14 17 3
1 4 2
0 3 3
3 9 1
8 10 3
16 19 3
23 1 1
17 19 2
6 8 3
18 22 1
23 0 2
8 10 3
20 23 2
2 6 2
14 18 2
14 18 1
15 17 2
4 6 3
5 7 2
22 0 2
21 22 3
23 2 3
16 19 1
20 21 2
11 15 3
23 0 3
13 18 3
10 15 3
11 14 3
20 22 1
10 13 3
1 4 3
14 17 3
20 0 1
7 9 2
6 10 1
19 23 1
2 6 1
13 16 1
12 15 3
15 18 3
9 13 2
16 18 1
15 17 3
2 4 3
1 6 1
15 19 2
17 21 3
23 2 2
14 17 2
13 15 1
15 18 3
14 17 2
15 18 3
13 16 2
19 21 3
3 7 3
1 3 1
23 2 3
13 17 2
19 22 2
0 3 2
2 5 2
12 14 1
10 12 1
14 18 3
8 12 1
6 10 2
11 13 1
14 17 1
9 13 1
23 1 3
4 7 1
5 8 2
12 15 1
8 12 3
14 18 2
4 6 2
21 1 2
18 20 3
19 23 3
14 19 2
1 6 3
23 1 1
12 15 3
21 1 3
7 11 1
20 23 1
15 17 2
21 0 1
9 12 1
19 22 3
19 21 3
23 1 3
17 20 2
19 21 1
16 19 2
12 13 3
8 10 2
15 18 1
2 4 2
23 2 3
16 19 1
0 2 3
15 18 3
15 18 1
10 14 3
18 23 3
2 5 1
22 23 2
10 13 1
2 3 2
23 2 3
20 23 2
17 20 3
0 3 2
22 2 3
21 23 3
21 0 1
20 21 2
23 3 1
8 10 3
6 9 3
8 11 3
14 17 2
0 3 2
11 13 2
17 20 2
6 10 1
22 2 3
16 18 1
18 20 1
13 16 3
6 7 1
20 0 1
7 10 1
11 14 3
12 16 2
8 12 1
14 18 3
19 22 1
4 7 1
11 13 3
21 23 1
1 3 2
21 1 3
3 5 2
4 6 3
1 4 3
3 6 2
1 5 3
1 5 1
7 13 3
7 10 3
16 20 2
16 20 3
0 3 3
16 18 1
17 21 3
23 2 3
9 11 2
10 13 1
7 11 3
11 14 1
13 14 1
7 10 1
7 9 2
13 18 1
4 6 1
19 23 2
3 6 2
20 22 2
5 9 3
17 20 2
20 0 2
15 17 3
14 18 3
0 3 2
6 9 2
12 15 1
16 20 1
5 8 1
1 4 3
13 15 1
10 13 3
2 7 3
12 16 2
13 16 2
13 16 3
0 2 3
21 2 3
4 8 3
0 3 2
5 8 3
3 3 2
19 21 2
17 21 2
6 11 2
16 17 1
10 14 2
19 23 1
19 21 2
10 12 2
1 4 3
22 1 2
4 8 1
14 15 3
20 22 3
16 21 3
0 3 3
1 4 3
11 13 1
22 2 1
4 7 2
21 22 1
23 2 1
3 7 2
3 6 3
0 1 2
9 12 3
12 16 2
21 0 2
21 23 2
17 21 1
10 12 1
10 12 2
16 19 3
11 13 3
16 17 1
19 22 1
16 18 1
16 19 3
22 1 2
17 19 1
11 14 3
5 9 2
0 3 3
9 13 1
4 8 3
8 10 1
3 6 3
19 22 3
14 16 1
17 19 3
13 17 3
0 4 1
17 19 2
21 0 3
8 12 2
14 17 2
7 11 3
1 3 2
14 16 2
19 23 3
11 14 2
16 20 2
15 20 2
0 2 2
8 10 2
14 17 1
8 10 3
9 11 2
21 0 1
3 6 1
4 7 1
14 16 2
20 23 2
6 10 1
5 10 1
13 18 3
2 6 3
9 11 1
7 12 3
14 18 3
22 3 3
4 6 3
10 14 2
9 12 1
11 13 2
11 14 2
12 16 3
0 2 2
18 21 2
0 1 2
18 22 2
7 11 2
2 4 2
22 3 3
11 14 3
12 14 3
17 18 2
18 20 1
2 5 1
11 14 1
16 20 2
2 7 2
4 7 2
17 19 1
11 16 1
17 20 1
21 1 2
20 21 1
4 6 2
15 19 1
3 7 2
21 23 3
0 3 2
9 12 1
6 10 2
16 18 2
17 20 3
23 1 2
3 5 1
17 22 3
0 3 3
7 10 1
3 5 2
11 15 1
5 7 2
16 19 2
14 17 3
11 15 3
20 23 1
4 5 1
9 13 1
18 22 2
7 8 3
2 5 3
12 16 1
5 9 2
14 16 2
22 1 2
8 12 1
21 0 1
19 23 1
17 21 3
18 21 3
18 22 1
11 13 2
11 13 1
19 23 2
21 0 2
22 0 1
21 21 1
6 9 1
23 3 1
20 23 2
3 5 2
15 18 1
6 8 1
16 18 1
14 18 2
23 3 3
8 12 2
6 10 1
6 9 3
16 20 2
13 15 1
8 11 1
8 13 3
21 0 1
17 19 3
3 6 1
4 6 1
23 2 3
11 13 2
6 9 3
3 5 2
11 13 3
4 8 3
4 6 2
4 8 2
7 11 2
16 19 1
6 9 2
13 16 2
8 12 2
2 5 3
15 17 3
11 15 2
12 15 2
22 1 2
4 6 3
18 21 1
15 16 2
11 15 2
15 17 2
23 3 3
16 19 1
11 16 1
22 1 3
1 5 2
4 6 3
20 23 2
9 12 2
15 18 2
19 21 3
5 8 3
17 19 3
4 7 3
16 20 2
3 6 2
10 12 1
16 19 2
11 15 1
13 16 2
15 18 3
15 18 3
2 7 2
14 18 1
12 13 2
12 13 2
11 12 1
19 21 2
3 6 2
1 4 1
19 22 1
20 23 1
18 23 2
9 11 2
10 14 1
11 14 2
9 13 3
8 10 3
4 7 2
6 10 1
0 2 1
14 15 3
10 12 2
7 11 2
17 19 1
20 1 1
4 6 3
15 21 2
7 11 2
12 16 3
11 14 2
10 14 3
1 4 1
0 2 2
12 13 3
13 16 2
6 10 1
22 3 3
15 18 3
9 11 3
1 4 1
3 6 2
15 17 3
8 10 2
14 16 2
13 16 2
16 16 3
22 2 1
23 0 1
9 11 3
12 15 2
20 22 1
13 15 3
18 20 3
11 14 1
16 18 3
14 18 3
21 0 2
9 12 3
2 5 3
21 23 2
9 13 2
16 20 2
4 8 3
10 15 2
9 12 3
16 19 1
4 8 2
17 19 2
21 0 1
22 1 1
8 12 1
13 16 1
11 14 3
14 17 1
5 9 1
